dia,mes,qtde_erros_404
01,Jul,316
02,Jul,291
03,Jul,470
04,Jul,359
05,Jul,497
06,Jul,640
07,Jul,569
08,Jul,302
09,Jul,348
10,Jul,398
11,Jul,471
12,Jul,470
13,Jul,531
14,Jul,411
15,Jul,254
16,Jul,257
17,Jul,406
18,Jul,465
19,Jul,638
20,Jul,428
21,Jul,332
22,Jul,191
23,Jul,233
24,Jul,328
25,Jul,461
26,Jul,336
27,Jul,336
28,Jul,94
01,Aug,243
03,Aug,303
04,Aug,346
05,Aug,236
06,Aug,373
07,Aug,537
08,Aug,390
09,Aug,279
10,Aug,306
11,Aug,263
12,Aug,196
13,Aug,216
14,Aug,287
15,Aug,327
16,Aug,259
17,Aug,271
18,Aug,256
19,Aug,209
20,Aug,312
21,Aug,305
22,Aug,285
23,Aug,345
24,Aug,420
25,Aug,415
26,Aug,366
27,Aug,367
28,Aug,410
29,Aug,420
30,Aug,571
31,Aug,526
